11:00:32.882 INFO  manager.ListenerNG - onStart
11:00:32.931 INFO  manager.TestBase - Start method with name --->createNewBoardSuccess
11:00:32.977 INFO  manager.ListenerWd - Start find element by -->By.cssSelector: [data-test-id='header-member-menu-button']
11:00:38.250 INFO  manager.ListenerWd - Something went wrong!!!
11:00:38.250 INFO  manager.ListenerWd - org.openqa.selenium.NoSuchElementException: no such element: Unable to locate element: {"method":"css selector","selector":"[data-test-id='header-member-menu-button']"}
  (Session info: chrome=104.0.5112.101)
For documentation on this error, please visit: https://www.seleniumhq.org/exceptions/no_such_element.html
Build info: version: '3.141.59', revision: 'e82be7d358', time: '2018-11-14T08:17:03'
System info: host: 'MacBook-Pro-Taya.local', ip: '192.168.0.104', os.name: 'Mac OS X', os.arch: 'x86_64', os.version: '10.16', java.version: '1.8.0_151'
Driver info: org.openqa.selenium.chrome.ChromeDriver
Capabilities {acceptInsecureCerts: false, browserName: chrome, browserVersion: 104.0.5112.101, chrome: {chromedriverVersion: 103.0.5060.53 (a1711811edd7..., userDataDir: /var/folders/s_/hl4vhy0959g...}, goog:chromeOptions: {debuggerAddress: localhost:53067}, javascriptEnabled: true, networkConnectionEnabled: false, pageLoadStrategy: normal, platform: MAC, platformName: MAC, proxy: Proxy(), setWindowRect: true, strictFileInteractability: false, timeouts: {implicit: 0, pageLoad: 300000, script: 30000}, unhandledPromptBehavior: dismiss and notify, webauthn:extension:credBlob: true, webauthn:extension:largeBlob: true, webauthn:virtualAuthenticators: true}
Session ID: 8d423f7482169e29fe49327767e8101e
*** Element info: {Using=css selector, value=[data-test-id='header-member-menu-button']}
11:00:38.941 INFO  manager.ListenerWd - Screen with problem is -->src/test/screenshots/screen-38.png
11:00:38.957 INFO  manager.ListenerWd - Start find element by -->By.cssSelector: a[href='/login']
11:00:38.980 INFO  manager.ListenerWd - Finish find element by -->By.cssSelector: a[href='/login']
11:00:39.084 INFO  manager.ListenerWd - Start find element by -->By.cssSelector: a[href='/login']
11:00:39.131 INFO  manager.ListenerWd - Finish find element by -->By.cssSelector: a[href='/login']
11:00:42.295 INFO  manager.ListenerWd - Start find element by -->By.id: user
11:00:42.334 INFO  manager.ListenerWd - Finish find element by -->By.id: user
11:00:42.756 INFO  manager.ListenerWd - Start find element by -->By.id: login
11:00:42.800 INFO  manager.ListenerWd - Finish find element by -->By.id: login
11:00:42.947 INFO  manager.ListenerWd - Start find element by -->By.cssSelector: #password.css-wxvfrp
11:00:47.106 INFO  manager.ListenerWd - Finish find element by -->By.cssSelector: #password.css-wxvfrp
11:00:47.688 INFO  manager.ListenerWd - Start find element by -->By.cssSelector: #login-submit
11:00:47.719 INFO  manager.ListenerWd - Finish find element by -->By.cssSelector: #login-submit
11:00:47.846 INFO  manager.ListenerNG - onTestStart
11:00:49.856 INFO  manager.ListenerWd - Start find element by -->By.cssSelector: div.content-all-boards>div>div:nth-child(2) ul li
11:01:07.798 INFO  manager.ListenerWd - Finish find element by -->By.cssSelector: div.content-all-boards>div>div:nth-child(2) ul li
11:01:07.799 INFO  manager.ListenerWd - Start find element by -->By.cssSelector: li[data-test-id='create-board-tile']
11:01:07.958 INFO  manager.ListenerWd - Finish find element by -->By.cssSelector: li[data-test-id='create-board-tile']
11:01:08.387 INFO  manager.ListenerWd - Start find element by -->By.cssSelector: input[data-test-id='create-board-title-input']
11:01:10.093 INFO  manager.ListenerWd - Finish find element by -->By.cssSelector: input[data-test-id='create-board-title-input']
11:01:11.443 INFO  manager.ListenerWd - Start find element by -->By.cssSelector: #background-picker ul:last-child li:last-child
11:01:11.508 INFO  manager.ListenerWd - Finish find element by -->By.cssSelector: #background-picker ul:last-child li:last-child
11:01:11.695 INFO  manager.ListenerWd - Start find element by -->By.xpath: //div[@title='Pink']
11:01:11.785 INFO  manager.ListenerWd - Finish find element by -->By.xpath: //div[@title='Pink']
11:01:11.951 INFO  manager.ListenerWd - Start find element by -->By.cssSelector: [data-test-id='create-board-submit-button']
11:01:11.976 INFO  manager.ListenerWd - Finish find element by -->By.cssSelector: [data-test-id='create-board-submit-button']
11:01:12.126 INFO  manager.ListenerWd - Start find element by -->By.cssSelector: [data-test-id='create-board-submit-button']
11:01:12.147 INFO  manager.ListenerWd - Finish find element by -->By.cssSelector: [data-test-id='create-board-submit-button']
11:01:18.352 INFO  manager.ListenerWd - Start find element by -->By.cssSelector: a[href $='boardpink8']
11:01:18.381 INFO  manager.ListenerWd - Finish find element by -->By.cssSelector: a[href $='boardpink8']
11:01:23.553 INFO  manager.ListenerWd - Start find element by -->By.cssSelector: div.content-all-boards>div>div:nth-child(3) ul li
11:01:23.581 INFO  manager.ListenerWd - Finish find element by -->By.cssSelector: div.content-all-boards>div>div:nth-child(3) ul li
11:01:23.584 INFO  manager.ListenerNG - onTestSuccess
11:01:23.585 INFO  manager.TestBase - Start method with name --->test
11:01:23.586 INFO  manager.ListenerWd - Start find element by -->By.cssSelector: [data-test-id='header-member-menu-button']
11:01:23.608 INFO  manager.ListenerWd - Finish find element by -->By.cssSelector: [data-test-id='header-member-menu-button']
11:01:23.638 INFO  manager.ListenerWd - Start find element by -->By.cssSelector: [data-test-id='header-member-menu-button']
11:01:23.656 INFO  manager.ListenerWd - Finish find element by -->By.cssSelector: [data-test-id='header-member-menu-button']
11:01:23.656 INFO  manager.ListenerNG - onTestStart
11:01:23.657 INFO  manager.ListenerNG - onTestSuccess
11:01:23.659 INFO  manager.TestBase - Start method with name --->changeAvatarSuccess
11:01:23.660 INFO  manager.ListenerWd - Start find element by -->By.cssSelector: [data-test-id='header-member-menu-button']
11:01:23.673 INFO  manager.ListenerWd - Finish find element by -->By.cssSelector: [data-test-id='header-member-menu-button']
11:01:23.707 INFO  manager.ListenerWd - Start find element by -->By.cssSelector: [data-test-id='header-member-menu-button']
11:01:23.725 INFO  manager.ListenerWd - Finish find element by -->By.cssSelector: [data-test-id='header-member-menu-button']
11:01:23.727 INFO  manager.ListenerNG - onTestStart
